question_content;question_content_image;answer_content;answer_content_image;box_number;last_reviewed
Lorsqu'une entreprise sous-traite des travaux à une autre entreprise ou un particulier, qui conserve la responsabilité des travaux et du contrôle final ?;;C'est toujours l'entreprise sous-traitante (celle qui a l'autorisation et qui confie le travail) qui garde la responsabilité (Art. 10b al. 2).;;2;
Si la personne de métier quitte l'entreprise, quelle est la durée maximale (prolongation incluse) d'une autorisation temporaire ?;;Douze mois au total (six mois, prolongeable une fois de six mois) (Art. 11 al. 2).;;2;
Citez les trois types d'autorisations limitées existants.;;Travaux sur installations propres ; travaux sur installations spéciales ; raccordement de matériels (Art. 12 al. 1, Art. 13 à 15).;;2;
Quelles sont les conditions de pratique pour obtenir l'autorisation art. 13 (Installations propres) ?;;Installateur-électricien CFC + trois ans de pratique ou profession apparentée + cinq ans de pratique + examen (Art. 13 al. 1).;;2;
Citez deux exemples d'installations considérées comme <spéciales> nécessitant une autorisation selon l'article 14.;;Dispositifs d'alarme, monte-charges, enseignes lumineuses, photovoltaïque, accumulateurs fixes, bateaux (Art. 14 al. 1).;;2;
Que permet de faire une autorisation de raccordement (Art. 15) ?;;Elle donne le droit de raccorder ou de remplacer des matériels électriques raccordés à demeure mentionnés dans l'autorisation (Art. 15 al. 2).;;2;
Un particulier peut-il installer une prise dans son logement ? Si oui, à quelle condition technique et administrative ?;;Technique : circuit monophasé protégé par un DDR 30 mA derrière un coupe-surintensité divisionnaire. Administrative : contrôle obligatoire par un titulaire d'une autorisation de contrôler (Art. 16 al. 2 et 3).;;2;
Que doit indiquer une autorisation générale d'installer concernant le personnel ?;;Elle indique le titulaire, le responsable technique et son taux d'occupation, les conseillers en sécurité, et les personnes ayant droit de signature (Art. 17 al. 1).;;2;
L'autorisation d'installer est-elle transmissible à une autre entité juridique ?;;Non, elle est intransmissible (Art. 18 al. 1).;;2;
Dans quel délai le titulaire doit-il annoncer tout fait exigeant une modification de l'autorisation ?;;Dans les deux semaines (Art. 19 al. 1).;;2;
Le registre des autorisations d'installer tenu par l'Inspection est-il confidentiel ?;;Non, il est public (Art. 20 al. 1).;;2;
Qui organise les examens pour l'obtention des autorisations limitées ?;;L'Inspection fédérale des installations à courant fort (ESTI) (Art. 21 al. 1).;;2;
Quelles sont les cinq règles vitales pour mettre une installation hors tension ?;;Déclencher ; assurer contre le réenclenchement ; vérifier l'absence de tension ; mettre en court-circuit et à la terre si nécessaire ; protéger les parties voisines sous tension (Art. 22 al. 1).;;3;
À qui doit-on annoncer les travaux d'installation avant qu'ils ne débutent ?;;Au gestionnaire du réseau de distribution basse tension (GRD) (Art. 23 al. 1).;;3;
Quels sont les deux types de contrôles que l'installateur doit effectuer avant la remise de l'installation ?;;La première vérification pendant la construction et le contrôle final consigné dans le rapport de sécurité (Art. 24 al. 1 et 2).;;3;
Que doit faire le titulaire d'une autorisation limitée avant d'exécuter des travaux ?;;Il doit annoncer les travaux au gestionnaire de réseau (Art. 25 al. 1).;;3;
Citez les quatre types d'organes de contrôle définis par l'ordonnance.;;Organes de contrôle indépendants ; organismes d'inspection accrédités ; exploitants de réseaux ; Inspection fédérale (ESTI) (Art. 26 al. 1).;;4;
Quelles conditions une personne doit-elle remplir pour obtenir une autorisation de contrôler ?;;Être du métier ou avoir réussi l'examen requis, formation à jour, directives internes, appareils de mesure calibrés (Art. 27 al. 1).;;4;
Dans quel cas l'autorisation de contrôler d'une entreprise s'éteint-elle d'elle-même ?;;Lorsque l'entreprise n'emploie plus de personnel disposant des connaissances techniques exigées (Art. 28 al. 3).;;4;
Le personnel de contrôle des exploitants de réseau est-il soumis aux mêmes exigences de formation ?;;Oui, les exigences s'appliquent par analogie (Art. 30).;;4;
Une personne ayant participé à la conception ou à l'installation peut-elle effectuer le contrôle de réception ou périodique ?;;Non, cela est interdit ; principe d'indépendance des contrôles (Art. 31).;;4;
Quel type d'organe doit contrôler les installations présentant un risque potentiel particulier ?;;Uniquement des organismes d'inspection accrédités (Art. 32 al. 2).;;4;
Que doivent faire les GRD avec les rapports de sécurité reçus ?;;Ils vérifient sporadiquement leur exactitude et les conservent jusqu'au prochain contrôle périodique (Art. 33 al. 2 et 3).;;4;
Qui contrôle les installations non contrôlées par des organes indépendants ou accrédités ?;;L'Inspection fédérale des installations à courant fort (ESTI) (Art. 34 al. 2).;;4;
Dans quel délai le contrôle de réception indépendant doit-il être effectué pour une installation neuve à périodicité inférieure à 20 ans ?;;Dans les six mois suivant la réception de l'installation (Art. 35 al. 3).;;4;
Combien de temps à l'avance le GRD invite-t-il le propriétaire pour le rapport périodique ?;;Au moins six mois avant l'expiration de la période de contrôle (Art. 36 al. 1).;;4;
Le rapport de sécurité doit contenir les résultats de quel autre contrôle ?;;Les résultats du contrôle final propre à l'entreprise (Art. 37 al. 1 let. e).;;4;
Que doit faire le GRD si un rapport de sécurité est manifestement inexact ?;;Il doit le refuser et ordonner les mesures nécessaires (Art. 38 al. 1).;;4;
Si un contrôle sporadique révèle des défauts, qui paie les frais ?;;Le propriétaire de l'installation (Art. 39 al. 2).;;4;
Que fait l'organe de contrôle en cas de danger imminent pour les personnes ?;;Il interrompt immédiatement l'alimentation électrique de la partie dangereuse (Art. 40 al. 1).;;4;
Qui perçoit des émoluments pour les décisions prises en vertu de l'ordonnance ?;;L'Inspection fédérale des installations à courant fort (Art. 41).;;5;
Citez deux actions punissables selon l'article 42.;;Exécuter des travaux sans autorisation, exécuter des contrôles sans autorisation, négliger de remettre le rapport de sécurité, ne pas respecter l'indépendance des contrôles (Art. 42).;;5;
